	WT-911-a_S119_L007_R1_001	WT-DHA-c_S134_L007_R1_001	WT-EPA-d_S142_L007_R1_001	Ob-a_S121_L007_R1_001
RE3448M_neg	9.302456147992688	9.521482663892739	9.21356600260859	10.703661374091961
RE3448X_pos	8.136324704708544	8.814806743093092	7.990501111363251	9.86965552850849
RE3448X_neg	8.136324704708544	8.814806743093092	7.990501111363251	9.86965552850849
RE3449C_pos	0.0	0.0	0.0	0.0
RE3449C_neg	0.0	0.0	0.0	0.0
RE3451C_pos	0.0	0.0	0.0	0.0
RE3452C_pos	0.0	0.0	0.0	0.0
RE3452C_neg	0.0	0.0	0.0	0.0
RE3453C_pos	0.0	0.0	0.0	0.0
RE3453C_neg	0.0	0.0	0.0	0.0
RE3454C_pos	0.0	0.0	0.0	0.0
RE3455C_pos	0.0	0.0	0.0	0.0
RE3457C_pos	0.0	0.0	0.0	0.0
RE3458C_pos	0.0	0.0	0.0	0.0
RE3458C_neg	0.0	0.0	0.0	0.0
RE3459C_pos	0.0	0.0	0.0	0.0
RE3459C_neg	0.0	0.0	0.0	0.0
RE3460C_pos	0.0	0.0	0.0	0.0
RE3464C_pos	0.0	0.0	0.0	0.0
RE3464R_pos	0.0	0.0	0.0	0.0
RE3469C_pos	0.0	0.0	0.0	0.0
RE3469C_neg	0.0	0.0	0.0	0.0
RE3470C_pos	6.24355484277846	6.822220271621528	6.197511592107616	7.872213143975773
RE3470C_neg	6.24355484277846	6.822220271621528	6.197511592107616	7.872213143975773
RE3470M_pos	0.0	0.0	0.0	0.0
RE3470M_neg	0.0	0.0	0.0	0.0
RE3470X_pos	0.0	0.0	0.0	0.0
RE3470X_neg	0.0	0.0	0.0	0.0
RE3474C_pos	0.0	0.0	0.0	0.0
RE3474R_pos	0.0	0.0	0.0	0.0
RE3475C_pos	0.0	0.0	0.0	0.0
RE3475N_pos	0.070389327891398	0.0	0.0	0.0
RE3476C_pos	6.24355484277846	6.822220271621528	6.197511592107616	7.872213143975773
RE3476C_neg	6.24355484277846	6.822220271621528	6.197511592107616	7.872213143975773
RE3476M_pos	0.0	0.0	0.0	0.0
RE3476M_neg	0.0	0.0	0.0	0.0
RE3476X_pos	0.0	0.0	0.0	0.0
RE3476X_neg	0.0	0.0	0.0	0.0
RE3477C_pos	0.0	0.0	0.0	0.0
RE3477C_neg	0.0	0.0	0.0	0.0
RE3485C_pos	0.0	0.0	0.0	0.0
RE3485N_pos	0.070389327891398	0.0	0.0	0.0
RE3486C_pos	0.0	0.0	0.0	0.0
RE3486C_neg	0.0	0.0	0.0	0.0
RE3488C_pos	0.0	0.0	0.0	0.0
RE3488N_pos	2.454175893185802	3.0738202332916713	1.7570232465074596	3.0373822220030804
RE3488R_pos	2.454175893185802	3.0738202332916713	1.7570232465074596	3.0373822220030804
RE3488X_pos	6.589463892956097	7.12267271882414	6.57198012018773	7.284384575070669
RE3490C_pos	0.0	0.0	0.0	0.0
RE3490C_neg	0.0	0.0	0.0	0.0
RE3491C_pos	0.0	0.0	0.0	0.0
RE3491C_neg	0.0	0.0	0.0	0.0
RE3492C_pos	0.0	0.0	0.0	0.0
RE3492C_neg	0.0	0.0	0.0	0.0
RE3493C_pos	0.0	0.0	0.0	0.0
RE3493C_neg	0.0	0.0	0.0	0.0
RE3494C_pos	0.0	0.0	0.0	0.0
RE3494C_neg	0.0	0.0	0.0	0.0
RE3495C_pos	0.0	0.0	0.0	0.0
RE3495C_neg	0.0	0.0	0.0	0.0
RE3496C_pos	0.0	0.0	0.0	0.0
RE3496C_neg	0.0	0.0	0.0	0.0
RE3496N_pos	0.0	0.0	0.0	0.0
RE3496N_neg	0.0	0.0	0.0	0.0
RE3498N_pos	0.070389327891398	0.0	0.0	0.0
RE3498R_pos	0.0	0.0	0.0	0.0
