	WT.d_S141_L007_R1_001	Ob.DHA.e_S154_L007_R1_001	WT.1012.c_S135_L007_R1_001	Ob.DHA.b_S132_L007_R1_001
EX_4abutn(e)_pos	0.0	0.0	0.0	0.0
EX_4abutn(e)_neg	0.0	0.0	0.0	0.0
EX_acmana(e)_pos	0.0	0.0	0.0	0.0
EX_acmana(e)_neg	0.0	0.0	0.0	0.0
EX_ahdt(e)_pos	0.0	0.0	0.0	0.0
EX_ahdt(e)_neg	0.0	0.0	0.0	0.0
EX_ctp(e)_pos	0.0	0.0	0.0	0.0
EX_ctp(e)_neg	0.0	0.0	0.0	0.0
EX_dgmp(e)_pos	0.0	0.0	0.0	0.0
EX_dgmp(e)_neg	0.0	0.0	0.0	0.0
EX_dgtp(e)_pos	0.0	0.0	0.0	0.0
EX_dgtp(e)_neg	0.0	0.0	0.0	0.0
EX_dha(e)_pos	0.0	0.0	0.0	0.0
EX_dha(e)_neg	0.0	0.0	0.0	0.0
EX_dhap(e)_pos	0.0	0.0	0.0	0.0
EX_dhap(e)_neg	0.0	0.0	0.0	0.0
EX_dtmp(e)_pos	0.0	0.0	0.0	0.0
EX_dtmp(e)_neg	0.0	0.0	0.0	0.0
EX_dttp(e)_pos	0.0	0.0	0.0	0.0
EX_dttp(e)_neg	0.0	0.0	0.0	0.0
EX_fad(e)_pos	0.0	0.0	0.0	0.0
EX_fad(e)_neg	0.0	0.0	0.0	0.0
EX_fald(e)_pos	0.0	0.0	0.0	0.0
EX_fald(e)_neg	0.0	0.0	0.0	0.0
EX_g1p(e)_pos	0.0	0.0	0.0	0.0
EX_g1p(e)_neg	0.0	0.0	0.0	0.0
EX_HC00229(e)_pos	0.0	0.0	0.0	0.0
EX_HC00229(e)_neg	0.0	0.0	0.0	0.0
EX_HC00250(e)_pos	0.0	0.0	0.0	0.0
EX_HC00250(e)_neg	0.0	0.0	0.0	0.0
EX_HC01104(e)_pos	0.0	0.0	0.0	0.0
EX_HC01104(e)_neg	0.0	0.0	0.0	0.0
EX_HC01361(e)_pos	0.0	0.0	0.0	0.0
EX_HC01361(e)_neg	0.0	0.0	0.0	0.0
EX_HC01440(e)_pos	0.0	0.0	0.0	0.0
EX_HC01440(e)_neg	0.0	0.0	0.0	0.0
EX_HC01441(e)_pos	0.0	0.0	0.0	0.0
EX_HC01441(e)_neg	0.0	0.0	0.0	0.0
EX_HC01444(e)_pos	0.0	0.0	0.0	0.0
EX_HC01444(e)_neg	0.0	0.0	0.0	0.0
EX_HC01446(e)_pos	0.0	0.0	0.0	0.0
EX_HC01446(e)_neg	0.0	0.0	0.0	0.0
EX_HC01577(e)_pos	0.0	0.0	0.0	0.0
EX_HC01577(e)_neg	0.0	0.0	0.0	0.0
EX_HC01609(e)_pos	0.0	0.0	0.0	0.0
EX_HC01609(e)_neg	0.0	0.0	0.0	0.0
EX_HC01610(e)_pos	0.0	0.0	0.0	0.0
EX_HC01610(e)_neg	0.0	0.0	0.0	0.0
EX_HC01700(e)_pos	0.0	0.0	0.0	0.0
EX_HC01700(e)_neg	0.0	0.0	0.0	0.0
EX_HC02160(e)_pos	0.0	0.0	0.0	0.0
EX_HC02160(e)_neg	0.0	0.0	0.0	0.0
EX_HC02161(e)_pos	0.0	0.0	0.0	0.0
