meta_rxn_id,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval
621,136.0,0.08488165299571686,0.7236787561016245,0.23581611288434395
622,125.0,0.22337087356959373,0.322785646277095,0.42563799589396206
623,78.0,0.3702635725474709,-0.18157216326799466,0.588556118900944
624,80.0,0.4207118092336194,-0.1689707250953477,0.6328373359566727
625,92.0,0.8004905884098723,-0.15787331900260212,0.906094667493099
626,88.0,0.6624718516536388,-0.28000881726644256,0.8152288317100642
627,79.0,0.3953072503151053,-0.25021092497799,0.6090398410112683
628,95.0,0.9085487981709219,-0.17151417178129377,0.9624667691401376
629,82.0,0.47634772226738475,-0.21963023731680908,0.6837042631065143
630,52.0,0.036562191434190316,-0.6620824931772034,0.13455233008838285
631,79.0,0.3953072503151053,-0.4578861400065798,0.6090398410112683
632,91.0,0.7651995408617962,-0.381144636907035,0.8815689072391465
633,69.0,0.1903620311330284,-0.7508450900822026,0.38294330874299626
634,86.0,0.5972229027923643,0.09841025931213614,0.765885357585914
635,40.0,0.008242009906200226,-0.9007955056884952,0.052674244379954535
636,84.0,0.5350644544782063,-0.3935226843701111,0.7276314341546886
637,84.0,0.5350644544782063,-0.4688528111618007,0.7276314341546886
638,38.0,0.006259152776615366,-1.1730152781996646,0.042079931870492054
639,77.0,0.3462297896371177,-0.4792248414175721,0.5606828605906609
640,18.0,0.0002593552766640716,-1.7707227392474953,0.0049119359104793075
641,28.0,0.001406256754328124,-1.6790541956958571,0.015166088468552616
642,37.0,0.00543865843998806,-1.2848263738089443,0.037538829143562026
643,56.0,0.05654277060892085,-0.9602031405242789,0.1806809110198644
644,64.0,0.12374393858320541,-0.6891186862312367,0.29339593377056183
645,69.0,0.1903620311330284,-0.625055290336075,0.38294330874299626
646,86.0,0.5972229027923643,-0.07997990621902126,0.765885357585914
647,57.0,0.06276097745480774,-0.9453039258929461,0.19454650296869547
648,14.0,0.00012473352843465045,-1.7568656225158612,0.0028912114874479426
649,25.0,0.0008647033653458835,-1.4990628529962062,0.010917758751074449
650,36.0,0.004716530360235347,-1.31183174795848,0.0337547080619608
651,59.0,0.07689626394376972,-0.8146466146945931,0.2232147624386437
652,55.0,0.050846095833897806,-0.8580673075911056,0.16765177670922143
653,43.0,0.012274648109661161,-1.2607895358610424,0.06688606496246942
654,65.0,0.13535877970324323,-0.5000609013385402,0.3128157513082392
655,57.0,0.06276097745480774,-0.6510221373601307,0.19454650296869547
656,77.0,0.3462297896371177,-0.19357188101267503,0.5606828605906609
657,43.0,0.012274648109661161,-1.2059847910644819,0.06688606496246942
658,67.0,0.16109322449890162,-0.7513814798478762,0.34989898971579614
659,54.0,0.045638215804428575,-1.1189128967924742,0.1550900418911982
660,28.0,0.001406256754328124,-1.7725356820148204,0.015166088468552616
661,40.0,0.008242009906200226,-1.1969841361525173,0.052674244379954535
662,43.0,0.012274648109661161,-1.1715621190548258,0.06688606496246942
663,25.0,0.0008647033653458835,-1.650433542204974,0.010917758751074449
664,0.0,7.4678435688707155e-06,-2.867794441400837,0.0005042417853241835
665,6.0,2.6199245185137612e-05,-2.5350028304287346,0.0009923762871346027
666,20.0,0.00036952219864219997,-1.6111936341154676,0.006306241477926775
667,43.0,0.012274648109661161,-1.191647866485332,0.06688606496246942
668,24.0,0.0007323990319616075,-1.532670166390505,0.009890571275098925
669,49.0,0.025849690449110427,-0.9888279172259457,0.10849883585802296
670,32.0,0.0026161516350141035,-1.3415087126491063,0.021961532373929206
671,25.0,0.0008647033653458835,-1.4859971230938407,0.010917758751074449
672,22.0,0.0005223025411715536,-1.6666985914744543,0.00803104798454874
673,87.0,0.6294858543167832,-0.43617632581968824,0.7883802675435196
674,95.0,0.9085487981709219,-0.31026391813453125,0.9624667691401376
675,65.0,0.13535877970324323,-0.7137144082914618,0.3128157513082392
676,73.0,0.2602848338696484,-0.4766598084017228,0.4761158386331731
677,79.0,0.3953072503151053,-0.321447901863395,0.6090398410112683
678,104.0,0.8004905884098723,-0.03833081248983471,0.906094667493099
679,95.0,0.9085487981709219,0.1983440542255846,0.9624667691401376
680,116.0,0.42134823269748845,0.1910307905034723,0.6328373359566727
681,84.0,0.5350644544782063,-0.14475789385582827,0.7276314341546886
682,112.0,0.5350644544782063,0.08196171133588906,0.7276314341546886
683,91.0,0.7651995408617962,-0.14998644708009728,0.8815689072391465
684,87.0,0.6294858543167832,-0.1561759697130059,0.7883802675435196
685,66.0,0.14779838390287722,-0.6268462114207267,0.3345931344040355
686,97.0,0.9816711400706458,-0.15878709390481244,0.996428287927917
687,91.0,0.7651995408617962,-0.1416609575841003,0.8815689072391465
688,89.0,0.6961259862240039,-0.25978054170726844,0.8406560315753329
689,63.0,0.11292204477606509,-0.6310156149113241,0.27836180244004616
690,64.0,0.12374393858320541,-0.711803690977605,0.29339593377056183
691,118.0,0.3702635725474709,0.1610235279249334,0.588556118900944
692,112.0,0.5350644544782063,0.12343143301180902,0.7276314341546886
693,112.0,0.5350644544782063,0.3801465010658293,0.7276314341546886
694,92.0,0.8004905884098723,-0.14149349573183936,0.906094667493099
695,69.0,0.1903620311330284,-0.34053174073257847,0.38294330874299626
696,71.0,0.22337087356959373,-0.38497327774085516,0.42563799589396206
697,72.0,0.24133124222644808,-0.44586334865146926,0.4493853946974507
698,80.0,0.42134823269748845,-0.37356379062286527,0.6328373359566727
699,102.0,0.872237629786812,-0.10641760153241236,0.9499193822292559
700,84.0,0.5350644544782063,-0.286760552630722,0.7276314341546886
701,91.0,0.7651995408617962,-0.2166647535894892,0.8815689072391465
702,84.0,0.5350644544782063,-0.2655067907044136,0.7276314341546886
703,69.0,0.1903620311330284,-0.6595575971546213,0.38294330874299626
704,84.0,0.5350644544782063,-0.2322776362572734,0.7276314341546886
705,98.0,1.0,-0.12691623142199546,1.0
706,62.0,0.10286022472686684,-0.5024597352656449,0.2644733923854705
707,103.0,0.836193734822461,0.12251748713799593,0.9249350927202862
708,133.0,0.11292204477606509,0.3788469220839582,0.27836180244004616
709,69.0,0.1903620311330284,-0.5302970252021285,0.38294330874299626
710,45.0,0.015854266897989498,-0.9507725125494478,0.07891562978390285
711,50.0,0.02907155995483803,-0.9203983170296176,0.11636116652026665
712,52.0,0.036562191434190316,-0.9987070348480594,0.13455233008838285
713,63.0,0.11292204477606509,-0.717517948038414,0.27836180244004616
