	Ob.EPA.c_S137_L007_R1_001	Ob.EPA.e_S153_L007_R1_001	Ob.1012.b_S133_L007_R1_001	WT.911.b_S129_L007_R1_001
MM6B2g_pos	3.412781525338476	3.6915341649192004	3.1342209397606333	3.3088850574117634
MM6bg_pos	3.412781525338476	3.6915341649192004	3.1342209397606333	3.3088850574117634
MM7Ag_pos	1.6870606883398924	1.7990873060740036	1.7824085649273733	1.7865963618908067
MM7B1g_pos	3.412781525338476	3.6915341649192004	3.1342209397606333	3.3088850574117634
MM7B2g_pos	3.412781525338476	3.6915341649192004	3.1342209397606333	3.3088850574117634
MM7Cag_pos	3.412781525338476	3.6915341649192004	3.1342209397606333	3.3088850574117634
MM7Cbg_pos	3.412781525338476	3.6915341649192004	3.1342209397606333	3.3088850574117634
MM8Ag_pos	3.412781525338476	3.6915341649192004	3.1342209397606333	3.3088850574117634
MM8Ber_pos	4.414812060565847	4.486714373030702	4.088311235888661	3.9326281570221266
MM8Cg_pos	3.412781525338476	3.6915341649192004	3.1342209397606333	3.3088850574117634
MMCD_pos	6.249066033855867	6.26322224452176	6.352264173258321	6.300123724569014
MMCDm_pos	6.249066033855867	6.26322224452176	6.352264173258321	6.300123724569014
MMCDp_pos	6.249066033855867	6.26322224452176	6.352264173258321	6.300123724569014
MMEm_pos	6.478486512084187	6.401903471607958	6.547974148320583	6.69655030107857
MMEm_neg	6.478486512084187	6.401903471607958	6.547974148320583	6.69655030107857
MMMm_pos	6.252665432450248	6.592756010441026	5.913607511823099	5.800123352826528
MMMm_neg	6.252665432450248	6.592756010441026	5.913607511823099	5.800123352826528
MMSAD1m_pos	7.824704218401829	8.146695948030656	7.474192653114043	7.248971191464163
MMSAD3m_pos	7.824704218401829	8.146695948030656	7.474192653114043	7.248971191464163
MMTSADm_pos	0.0	0.0	0.0	0.0
MOGAT_pos	4.594548549550354	4.651912744645783	4.785550551739256	0.5945485495503542
MTAP_pos	3.7366048753142485	4.072105800480419	3.7300964655954685	3.1651079851445365
MTHFC_pos	6.647890091059215	7.119874889532549	6.547974148320583	6.462543170530418
MTHFC_neg	6.647890091059215	7.119874889532549	6.547974148320583	6.462543170530418
MTHFCm_pos	2.2660368939953175	2.2387868595871163	1.84799690655495	1.3895668117627256
MTHFCm_neg	2.2660368939953175	2.2387868595871163	1.84799690655495	1.3895668117627256
MTHFD_pos	6.694323060125386	7.1630961384360115	6.599615348621605	6.510012465448515
MTHFD_neg	6.694323060125386	7.1630961384360115	6.599615348621605	6.510012465448515
MTHFD2_pos	1.4382928515791469	1.2387868595871168	0.6229303509201767	1.144046369616707
MTHFD2_neg	1.4382928515791469	1.2387868595871168	0.6229303509201767	1.144046369616707
MTHFD2m_pos	1.4382928515791469	1.2387868595871168	0.6229303509201767	1.144046369616707
MTHFD2m_neg	1.4382928515791469	1.2387868595871168	0.6229303509201767	1.144046369616707
