	exTreg_Lymph_exTreg2_L1
10FTHF5GLUtl_pos	3909.471436273466
10FTHF5GLUtm_pos	6303.0333147475485
10FTHF6GLUtl_pos	4745.072617618794
10FTHF6GLUtm_pos	6690.606151359632
10FTHF7GLUtl_pos	5302.14007184901
10FTHF7GLUtm_pos	6950.184191682482
10FTHFtl_neg	3909.471436273466
10FTHFtl_pos	0.0
10FTHFtm_neg	10746.24926499975
10FTHFtm_pos	23051.822602959834
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	71363.3049467092
11DOCRTSLtr_neg	71363.30494670922
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	74145.11135557889
11DOCRTSTRNtr_neg	74145.11135557889
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	48912.903810871016
1MNCAMti_pos	60.426400896852606
1PPDCRp_pos	75.01190135773481
1a25DHVITD3TRn_pos	68452.72409754404
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	17.028583441894998
24NPHte_pos	0.0
24_25DHVITD2t_pos	13.636707558716614
24_25DHVITD2tm_pos	13.636707558716614
24_25DHVITD3t_pos	68360.0764933773
24_25DHVITD3tm_pos	71127.22906524465
24_25VITD2Hm_pos	13.636707558716614
24_25VITD3Hm_pos	71127.22906524458
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	68452.72409754385
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	11966.746160122071
2AMACSULT_pos	30417.042088413997
2AMADPTm_pos	8166.031844079816
2DR1PP_pos	6683.454323074432
2HBO_neg	16779.913040016665
2HBO_pos	11.79323056112662
2HBt2_neg	1361.5846183042015
