	WT.DHA.d_S143_L007_R1_001	WT.DHA.b_S128_L007_R1_001	WT.EPA.a_S117_L007_R1_001	WT.1012.d_S145_L007_R1_001
GLCt4_neg	1.495695162624069	1.6644828403646827	1.3045110418099528	1.565597175854225
GLCter_pos	0.0	0.0	0.0	0.0
GLCter_neg	0.0	0.0	0.0	0.0
GLCtg_pos	2.682573297347578	2.7548875021634687	1.7782085763980877	2.7246502717329673
GLCtg_neg	2.682573297347578	2.7548875021634687	1.7782085763980877	2.7246502717329673
GLCtly_pos	0.0	0.0	0.0	0.0
GLCURter_pos	0.0	0.0	0.0	0.0
GLCURtly_pos	3.8308637567517576	4.111031312388744	3.665620164066381	4.073820233291672
GLCURtly_neg	3.8308637567517576	4.111031312388744	3.665620164066381	4.073820233291672
GLDBRAN_pos	3.349082146391089	3.6633446193660846	3.12267271882414	3.426264754702098
GLGNS1_pos	6.021923838554758	6.1965283609369415	5.258895755075436	6.330737650206952
GLNALANaEx_pos	1.5410191531335593	0.8155754288625726	1.480265122054463	1.2570106182060237
GLNASNNaEx_pos	1.5410191531335593	0.8155754288625726	1.480265122054463	1.2570106182060237
GLNCYSNaEx_pos	1.5410191531335593	0.8155754288625726	1.480265122054463	1.2570106182060237
GLNLASEer_pos	0.0	0.0	0.0	0.0
GLNLASEer_neg	0.0	0.0	0.0	0.0
GLNS_pos	8.5505928897043	8.276543191432994	9.201413323672844	8.577504359830268
GLNSERNaEx_pos	1.5410191531335593	0.8155754288625726	1.480265122054463	1.2570106182060237
GLNt4_pos	8.126549613543878	8.543147850042914	8.438126479550952	8.540902952010635
GLNTHRNaEx_pos	1.5410191531335593	0.8155754288625726	1.480265122054463	1.2570106182060237
GLNtm_pos	0.0	0.0	0.0	0.0
GLNtN1_pos	9.190861740618212	9.201021173751903	9.138886126872915	9.372930338954294
GLNtN1_neg	9.190861740618212	9.201021173751903	9.138886126872915	9.372930338954294
GLPASE1_pos	2.0214797274104517	1.584962500721156	1.918386234446348	1.899175630480513
GLPASE2_pos	2.0214797274104517	1.584962500721156	1.918386234446348	1.899175630480513
GLRASE_pos	0.0	0.0	0.0	0.0
GLRASE_neg	0.0	0.0	0.0	0.0
GLU5Km_pos	0.963474123974886	0.44360665147561457	1.6229303509201767	1.6040713236688608
GLUCYS_pos	6.436045208753906	6.6546360285279675	5.699051844016849	6.614489006544418
GLUDC_pos	0.47508488294878287	0.29865831556451516	0.18903382439001715	0.3334237337251918
GLUDxm_pos	8.579315937580015	9.055716263512544	8.620219825507487	8.908152401809554
GLUDxm_neg	8.579315937580015	9.055716263512544	8.620219825507487	8.908152401809554
GLUDym_pos	8.579315937580015	9.055716263512544	8.620219825507487	8.908152401809554
GLUDym_neg	8.579315937580015	9.055716263512544	8.620219825507487	8.908152401809554
GluForTx_pos	8.181748596665683	8.022312323690542	7.416333088688697	8.09323267628895
GLUNm_pos	7.435045131278085	7.125155131322289	6.932391940068527	7.3417189520284305
GLUPRT_pos	2.350497247084133	2.8875252707415875	2.411426245726465	2.636914580355878
GLUt2m_pos	7.100346961358104	7.293701542080735	7.441865217388118	7.684748620421626
