meta_rxn_id,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval
1,153.0,0.012274648109661161,0.9650077991908086,0.014343512802335426
2,112.0,0.5350644544782063,0.8306521572858171,0.5532324219738045
3,168.0,0.001406256754328124,1.6982937305843515,0.0017569724372257256
4,168.0,0.001406256754328124,1.784423478524082,0.0017569724372257256
5,169.0,0.001198186601676777,2.53362162077261,0.0015636838591630545
6,172.0,0.0007323990319616075,1.9584960856535254,0.0009746492687543928
7,172.0,0.0007323990319616075,1.955886879312751,0.0009746492687543928
8,168.0,0.001406256754328124,1.463416032347541,0.0017569724372257256
9,167.0,0.0016472037920134592,1.4442639712610246,0.0020383326605553005
10,172.0,0.0007323990319616075,1.4569297786054012,0.0009746492687543928
11,141.0,0.050846095833897806,1.4659025042283116,0.05680862361873618
12,146.0,0.02907155995483803,1.2255937014333824,0.03305134158847984
13,196.0,7.4678435688707155e-06,3.446797905904161,1.2606044633104588e-05
14,196.0,7.4678435688707155e-06,3.284199414602002,1.2606044633104588e-05
15,178.0,0.0002593552766640716,2.7267162849365,0.00036026721346985973
16,173.0,0.0005980242676239971,3.027615477166252,0.0008146769189649716
17,196.0,7.4678435688707155e-06,3.335245773581541,1.2606044633104588e-05
18,177.0,0.00030988550754250263,1.7576153043154183,0.00042892352336319664
19,196.0,7.4678435688707155e-06,3.6901183161978257,1.2606044633104588e-05
20,196.0,7.4678435688707155e-06,4.982290542986909,1.2606044633104588e-05
21,196.0,7.4678435688707155e-06,4.602909755309811,1.2606044633104588e-05
22,196.0,7.4678435688707155e-06,4.471946000030591,1.2606044633104588e-05
23,196.0,7.4678435688707155e-06,4.423565872423456,1.2606044633104588e-05
24,196.0,7.4678435688707155e-06,2.8055450646244013,1.2606044633104588e-05
25,196.0,7.4678435688707155e-06,3.1565450860942192,1.2606044633104588e-05
26,196.0,7.4678435688707155e-06,3.4742493334800177,1.2606044633104588e-05
27,196.0,7.4678435688707155e-06,3.5127314304494464,1.2606044633104588e-05
28,196.0,7.4678435688707155e-06,6.209995222412902,1.2606044633104588e-05
29,196.0,7.4678435688707155e-06,4.196243612474102,1.2606044633104588e-05
30,196.0,7.4678435688707155e-06,4.258165767566622,1.2606044633104588e-05
31,196.0,7.4678435688707155e-06,4.126500371497959,1.2606044633104588e-05
32,196.0,7.4678435688707155e-06,4.120329078311708,1.2606044633104588e-05
33,196.0,7.4678435688707155e-06,4.182165416679549,1.2606044633104588e-05
34,196.0,7.4678435688707155e-06,4.385797574619452,1.2606044633104588e-05
35,196.0,7.4678435688707155e-06,3.841166527783275,1.2606044633104588e-05
36,196.0,7.4678435688707155e-06,2.977770463715399,1.2606044633104588e-05
37,196.0,7.4678435688707155e-06,3.533221894849763,1.2606044633104588e-05
38,193.0,1.4115569156153118e-05,3.1543270171424997,2.2906456530309084e-05
39,196.0,7.4678435688707155e-06,3.453609552056479,1.2606044633104588e-05
40,193.0,1.4115569156153118e-05,3.1341986637770423,2.2906456530309084e-05
41,196.0,7.4678435688707155e-06,8.529828750345862,1.2606044633104588e-05
42,194.0,1.1439596363811544e-05,3.4109899053566513,1.87798024873143e-05
43,196.0,7.4678435688707155e-06,3.407733672911457,1.2606044633104588e-05
44,196.0,7.4678435688707155e-06,3.1111805525067284,1.2606044633104588e-05
45,196.0,7.4678435688707155e-06,3.747091583376202,1.2606044633104588e-05
46,196.0,7.4678435688707155e-06,3.167666899115581,1.2606044633104588e-05
47,196.0,7.4678435688707155e-06,3.429810788615402,1.2606044633104588e-05
48,196.0,7.4678435688707155e-06,5.009035137382438,1.2606044633104588e-05
49,196.0,7.4678435688707155e-06,3.0982169066686387,1.2606044633104588e-05
50,196.0,7.4678435688707155e-06,4.3177484662663215,1.2606044633104588e-05
51,196.0,7.4678435688707155e-06,6.714386310356255,1.2606044633104588e-05
52,196.0,7.4678435688707155e-06,4.099929289514058,1.2606044633104588e-05
53,196.0,7.4678435688707155e-06,5.552465774195758,1.2606044633104588e-05
54,196.0,7.4678435688707155e-06,4.8673755666292955,1.2606044633104588e-05
55,196.0,7.4678435688707155e-06,3.3636210398227533,1.2606044633104588e-05
56,196.0,7.4678435688707155e-06,3.248767758803719,1.2606044633104588e-05
57,196.0,7.4678435688707155e-06,3.5681209641722123,1.2606044633104588e-05
58,196.0,7.4678435688707155e-06,3.442158495600681,1.2606044633104588e-05
59,196.0,7.4678435688707155e-06,4.160622165131881,1.2606044633104588e-05
60,196.0,7.4678435688707155e-06,3.8393158280124764,1.2606044633104588e-05
61,196.0,7.4678435688707155e-06,2.800480243056623,1.2606044633104588e-05
