	Ob-DHA-c_S138_L007_R1_001	WT-1012-a_S120_L007_R1_001	Ob-1012-a_S125_L007_R1_001	Ob-DHA-a_S123_L007_R1_001
RIBFLVt3_pos	0.0	0.0	0.0	0.0
RIBt_pos	0.0	0.0	0.0	0.0
RIBt_neg	0.0	0.0	0.0	0.0
RIBt2_pos	0.0	0.0	0.0	0.0
RNDR1_pos	2.9193400824420124	1.996388746447621	3.1284583841469282	2.6392321632492775
RNDR2_pos	2.9193400824420124	1.996388746447621	3.1284583841469282	2.6392321632492775
RNDR3_pos	2.9193400824420124	1.996388746447621	3.1284583841469282	2.6392321632492775
RNDR4_pos	2.9193400824420124	1.996388746447621	3.1284583841469282	2.6392321632492775
RNMK_pos	4.519164449806069	4.744699314207836	4.3334237337251915	4.307428525192248
RPE_pos	4.5867647433551415	3.604071323668861	4.478971805032942	4.23112515787905
RPE_neg	4.5867647433551415	3.604071323668861	4.478971805032942	4.23112515787905
RPI_pos	3.3161457422933562	2.0426443374084937	2.304511041809953	2.5008020530571575
RPI_neg	3.3161457422933562	2.0426443374084937	2.304511041809953	2.5008020530571575
RTOTAL2CRNCPT1_pos	7.4059072926018485	5.927422428739871	7.805356952327856	7.012345190419828
RTOTAL2CRNCPT2_pos	6.66803400407589	5.542258049766918	6.989593184938768	6.639232163249277
RTOTAL2CRNt_pos	7.258236237330973	5.699884728697476	7.129489101516546	7.121222669841959
RTOTAL2t_pos	0.0	0.0	0.0	0.0
RTOTAL2t_neg	0.0	0.0	0.0	0.0
RTOTAL3CRNCPT1_pos	7.4059072926018485	5.927422428739871	7.805356952327856	7.012345190419828
RTOTAL3CRNCPT2_pos	6.66803400407589	5.542258049766918	6.989593184938768	6.639232163249277
RTOTAL3CRNt_pos	7.258236237330973	5.699884728697476	7.129489101516546	7.121222669841959
RTOTAL3t_pos	0.0	0.0	0.0	0.0
RTOTAL3t_neg	0.0	0.0	0.0	0.0
RTOTALCRNCPT1_pos	7.4059072926018485	5.927422428739871	7.805356952327856	7.012345190419828
RTOTALCRNCPT2_pos	6.66803400407589	5.542258049766918	6.989593184938768	6.639232163249277
RTOTALCRNt_pos	7.258236237330973	5.699884728697476	7.129489101516546	7.121222669841959
RTOTALt_pos	0.0	0.0	0.0	0.0
RTOTALt_neg	0.0	0.0	0.0	0.0
Rtotaltl_pos	0.0	0.0	0.0	0.0
Rtotaltl_neg	0.0	0.0	0.0	0.0
Rtotaltp_pos	0.0	0.0	0.0	0.0
Rtotaltp_neg	0.0	0.0	0.0	0.0
S23T2g_pos	6.475247047287838	6.2143191208007655	6.442943495848728	6.122258567811998
S23T3g_pos	5.94766615679601	5.115615931428109	6.1815001517046095	5.739578112048051
S23T4g_pos	6.475247047287838	6.2143191208007655	6.442943495848728	6.122258567811998
S23Tg_pos	4.950468414150123	3.855989697308481	5.18626283566979	4.760753208062987
S26Tg_pos	6.116239979469368	3.876762490781555	5.884842093799463	5.625270489374693
S2L2FN2M2MASNt_pos	0.0	0.0	0.0	0.0
S2L2FN2M2MASNtly_pos	0.0	0.0	0.0	0.0
S2L2N2M2MASNtly_pos	0.0	0.0	0.0	0.0
S2T1g_pos	0.35614381022527536	0.21412480535284734	0.3334237337251918	0.2016338611696504
S2T2g_pos	0.35614381022527536	0.21412480535284734	0.3334237337251918	0.2016338611696504
S2T3g_pos	0.35614381022527536	0.21412480535284734	0.3334237337251918	0.2016338611696504
S2T4g_pos	2.7420062108667365	1.4905701304462013	2.575312330687437	2.2448870591235344
S2TASE1ly_pos	2.3589588258323295	1.531069492725954	2.4646682670034443	2.250961573533219
S2TASE2ly_pos	2.3589588258323295	1.531069492725954	2.4646682670034443	2.250961573533219
S2TASE3ly_pos	2.3589588258323295	1.531069492725954	2.4646682670034443	2.250961573533219
S2TASE4ly_pos	0.0	0.0	0.0	0.0
S2TASE5ly_pos	0.0	0.0	0.0	0.0
S3T1g_pos	0.5753123306874368	0.18903382439001715	0.34482849699744117	0.0
S3T2g_pos	0.0	0.0	0.12432813500220177	0.0
S3T3g_pos	4.028569152196771	4.088311235888661	4.424250286084049	3.71259578044703
S3TASE1ly_pos	0.0	0.0	0.0	0.0
S3TASE1ly_neg	0.0	0.0	0.0	0.0
S3TASE2ly_pos	0.0	0.0	0.0	0.0
S3TASE2ly_neg	0.0	0.0	0.0	0.0
S3TASE3ly_pos	0.0	0.0	0.0	0.0
S3TASE3ly_neg	0.0	0.0	0.0	0.0
S4T1g_pos	3.212569338850806	2.114367024952	3.1554254317471973	2.9927684307689244
S4T2g_pos	3.212569338850806	2.114367024952	3.1554254317471973	2.9927684307689244
S4T3g_pos	3.212569338850806	2.114367024952	3.1554254317471973	2.9927684307689244
S4T4g_pos	0.0	0.0	0.0	0.0
S4T5g_pos	0.0	0.0	0.0	0.0
S4T6g_pos	3.212569338850806	2.114367024952	3.1554254317471973	2.9927684307689244
S4TASE1ly_pos	4.685940148445977	2.974529312483882	4.563158130402808	4.4376272483189485
S4TASE1ly_neg	4.685940148445977	2.974529312483882	4.563158130402808	4.4376272483189485
S4TASE2ly_pos	4.685940148445977	2.974529312483882	4.563158130402808	4.4376272483189485
S4TASE2ly_neg	4.685940148445977	2.974529312483882	4.563158130402808	4.4376272483189485
S4TASE3ly_pos	4.685940148445977	2.974529312483882	4.563158130402808	4.4376272483189485
S4TASE3ly_neg	4.685940148445977	2.974529312483882	4.563158130402808	4.4376272483189485
S4TASE4ly_pos	4.685940148445977	2.974529312483882	4.563158130402808	4.4376272483189485
S4TASE4ly_neg	4.685940148445977	2.974529312483882	4.563158130402808	4.4376272483189485
S4TASE5ly_pos	4.685940148445977	2.974529312483882	4.563158130402808	4.4376272483189485
S4TASE5ly_neg	4.685940148445977	2.974529312483882	4.563158130402808	4.4376272483189485
S6T10g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T11g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T12g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T13g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T14g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T15g_pos	0.45417589318580215	0.5260688116675876	0.36737106564852945	0.13750352374993502
S6T16g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T17g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T18g_pos	0.45417589318580215	0.5260688116675876	0.36737106564852945	0.13750352374993502
S6T19g_pos	1.3103401206121505	0.7907720378619999	0.5360529002402097	0.45417589318580215
S6T1g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T20g_pos	1.3103401206121505	0.7907720378619999	0.5360529002402097	0.45417589318580215
S6T21g_pos	1.3103401206121505	0.7907720378619999	0.5360529002402097	0.45417589318580215
S6T22g_pos	1.207892851641333	0.46466826700344427	0.44360665147561457	0.34482849699744117
S6T23g_pos	1.207892851641333	0.46466826700344427	0.44360665147561457	0.34482849699744117
S6T24g_pos	1.3103401206121505	0.7907720378619999	0.5360529002402097	0.45417589318580215
S6T25g_pos	6.463033855317493	5.017921907997263	6.6946016533561234	6.538227739736
S6T2g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T3g_pos	0.45417589318580215	0.5260688116675876	0.36737106564852945	0.13750352374993502
S6T4g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T5g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T6g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T7g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T8g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6T9g_pos	1.070389327891398	0.3785116232537299	1.0976107966264221	1.01435529297707
S6TASE10ly_pos	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE10ly_neg	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE11ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE11ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE12ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE12ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE13ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE13ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE14ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE14ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE15ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE15ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE16ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE16ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE17ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE17ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE18ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE18ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE19ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE19ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE1ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE1ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE20ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE20ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE21ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE21ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE22ly_pos	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE22ly_neg	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE23ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE23ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE24ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE24ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE25ly_pos	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE25ly_neg	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE26ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE26ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE2ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE2ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE3ly_pos	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE3ly_neg	6.4276061727819	5.128045890922992	6.634593268445757	6.257010618206024
S6TASE4ly_pos	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE4ly_neg	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE5ly_pos	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE5ly_neg	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE6ly_pos	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE6ly_neg	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE7ly_pos	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE7ly_neg	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE8ly_pos	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE8ly_neg	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE9ly_pos	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
S6TASE9ly_neg	4.751677945687578	4.161283074542011	4.919459269111575	4.627898615871748
SACCD3m_pos	6.992994966851809	5.572889668420581	7.896271848807375	6.888986721186558
SACCD4m_pos	6.992994966851809	5.572889668420581	7.896271848807375	6.888986721186558
SADT_pos	6.3045110418099535	5.913368159679723	6.294253136444514	6.092968509324141
SALMCOM_pos	15.39973887498613	15.646536210056436	14.245310553220582	15.94558717512897
SALMCOM2_pos	2.229587922740652	1.8237493603082728	2.6392321632492775	1.859969548221026
SAMHISTA_pos	5.234194722953812	3.9411063109464313	5.249824548616183	5.2622828064206555
SARCOXp_pos	7.3243605909270855	6.943335317755108	7.729008870337863	7.284292026394312
SARCStex_pos	0.0	0.0	0.0	0.0
SARCStm_pos	0.0	0.0	0.0	0.0
SARCStp_pos	0.0	0.0	0.0	0.0
SARDHm_pos	8.15279185163912	7.222263603528345	8.602698865017965	8.062963556559087
SBPP1er_pos	4.983221650742669	4.125981653854716	5.216066783087033	4.987775616142913
SBPP3er_pos	4.983221650742669	4.125981653854716	5.216066783087033	4.987775616142913
SBTD_D2_pos	9.546277132090076	8.733557713737424	9.78173673227936	9.669345722371732
SBTR_pos	8.688425170661892	7.665406984155998	8.699121269441703	8.738024684499708
SCP21x_pos	11.275821872982945	10.6174031808239	11.265280996370215	11.156076754210671
SCP21x_neg	11.275821872982945	10.6174031808239	11.265280996370215	11.156076754210671
SCP22x_pos	11.275821872982945	10.6174031808239	11.265280996370215	11.156076754210671
SCP22x_neg	11.275821872982945	10.6174031808239	11.265280996370215	11.156076754210671
SCP2x_pos	11.275821872982945	10.6174031808239	11.265280996370215	11.156076754210671
SCPx_pos	11.275821872982945	10.6174031808239	11.265280996370215	11.156076754210671
SEAHCYSHYD_pos	9.702899911310991	9.170200489815784	10.318113439538342	9.813091738870767
SEAHCYStn_pos	0.0	0.0	0.0	0.0
SEAHCYStn_neg	0.0	0.0	0.0	0.0
SEASMETtn_pos	0.0	0.0	0.0	0.0
SEASMETtn_neg	0.0	0.0	0.0	0.0
SELADT_pos	6.3045110418099535	5.913368159679723	6.294253136444514	6.092968509324141
SELCYSLY_pos	6.059831136192821	5.0802312720192635	6.093602428795734	6.00943675560809
SELCYSLY2_pos	6.059831136192821	5.0802312720192635	6.093602428795734	6.00943675560809
SELCYSTGL_pos	7.4355452566728175	6.589913260672201	8.990728003718974	7.840652055941782
SELCYSTS_pos	7.902977995832404	7.235535606710462	8.831053839324012	8.004557570854558
SELMETAT_pos	10.725374779400545	8.9867806638088	11.475495326111975	10.783030959854932
SELNPS_pos	8.960523293890615	8.580447019598664	9.375430470376198	9.015080475613182
SELt4_3_pos	0.0	0.0	0.0	0.0
SELt4_3_neg	0.0	0.0	0.0	0.0
Ser_Thrtg_pos	0.0	0.0	0.0	0.0
Ser_Thrtg_neg	0.0	0.0	0.0	0.0
